 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1654529604417.07421875,0.08276367187,0.22302246093,-0.99963378906,,,,,,,,
 1654529604429.61694335937,,,,,,2076,-4954,1038,0,
 1654529604469.83911132812,,,,,,1982,-3216,991,0,
 1654529604482.748046875,0.09802246093,0.15087890625,-0.98107910156,,,,,,,,
 1654529604550.22241210937,,,,,,2122,-976,1061,0,
 1654529604563.95532226562,0.05615234375,0.18505859375,-0.94836425781,,,,,,,,
 1654529604590.59716796875,,,,,,2266,1417,1133,0,
 1654529604630.8193359375,,,,,,2346,3634,1173,0,
 1654529604642.50756835937,-0.00708007812,0.33325195312,-0.93115234375,,,,,,,,
 1654529604671.19409179687,,,,,,2366,5461,1183,0,
 1654529604711.6298828125,,,,,,2342,6772,1171,0,
 1654529604722.73828125,0.01232910156,0.37951660156,-0.93762207031,,,,,,,,
 1654529604751.76049804687,,,,,,2286,7561,1143,0,
 1654529604792.07421875,,,,,,2350,7979,1175,0,
 1654529604802.75537109375,0.07873535156,0.36975097656,-0.95947265625,,,,,,,,
 1654529604832.75415039062,,,,,,2462,8181,1231,0,
 1654529604872.61010742187,,,,,,2430,8317,1215,0,
 1654529604882.49780273437,0.05969238281,0.3662109375,-0.99353027343,,,,,,,,
 1654529604913.01538085937,,,,,,2430,8582,1215,0,
 1654529605007.61987304687,0.04248046875,0.33544921875,-1.01257324218,,,,,,,,
 1654529605012.07543945312,,,,,,2454,9054,1227,0,
 1654529605034.20068359375,,,,,,2382,10529,1191,0,
 1654529605042.74560546875,0.03137207031,0.39196777343,-1.04443359375,,,,,,,,
 1654529605074.23974609375,,,,,,2366,11295,1183,0,
 1654529605114.7060546875,,,,,,2478,11855,1239,0,
 1654529605122.48803710937,0.00732421875,0.46630859375,-1.04675292968,,,,,,,,
 1654529605155.41650390625,,,,,,2618,12011,1309,0,
 1654529605195.66918945312,,,,,,2646,11486,1323,0,
 1654529605203.14599609375,,,,60,33,,,,
 1654529605207.4794921875,0.04724121093,0.40393066406,-0.9560546875,,,,,,,,
 1654529605235.43359375,,,,,,2670,10229,1335,0,
 1654529605275.56420898437,,,,,,2638,8243,1319,0,
 1654529605283.31567382812,0.00952148437,0.35717773437,-0.93981933593,,,,,,,,
 1654529605315.90844726562,,,,,,2606,5665,1303,0,
 1654529605356.34423828125,,,,,,2538,2712,1269,0,
 1654529605364.12622070312,-0.02673339843,0.34997558593,-0.96362304687,,,,,,,,
 1654529605396.62744140625,,,,,,2494,-301,1247,0,
 1654529605436.81909179687,,,,,,2478,-3028,1239,0,
 1654529605445.45556640625,-0.02600097656,0.38000488281,-0.96533203125,,,,,,,,
 1654529605477.56005859375,,,,,,2414,-5169,1207,0,
 1654529605517.32446289062,,,,,,2326,-6515,1163,0,
 1654529605524.984375,-0.00170898437,0.38671875,-0.96606445312,,,,,,,,
 1654529605557.8212890625,,,,,,2270,-6944,1135,0,
 1654529605600.5458984375,,,,,,2222,-6486,1111,0,
 1654529605605.73388671875,0.05139160156,0.34814453125,-0.95080566406,,,,,,,,
 1654529605638.29614257812,,,,,,2198,-5316,1099,0,
 1654529605681.32592773437,,,,,,2230,-3733,1115,0,
 1654529605686.54443359375,0.07507324218,0.33020019531,-0.94787597656,,,,,,,,
 1654529605718.89306640625,,,,,,2294,-2089,1147,0,
 1654529605761.9228515625,,,,,,2302,-803,1151,0,
 1654529605799.58154296875,,,,,,2326,-206,1163,0,
 1654529605842.3671875,,,,,,2318,-595,1159,0,
 1654529605922.90307617187,,,,,,2318,-2058,1159,0,
 1654529606005.36157226562,,,,,,2286,-4537,1143,0,
 1654529606016.34790039062,,,,,,2286,-7809,1143,0,
 1654529606084.52416992187,0.09790039062,0.33410644531,-0.95007324218,,,,,,,,
 1654529606088.5830078125,,,,,,2198,-11534,1099,0,
 1654529606122.09130859375,,,,,,2122,-15256,1061,0,
 1654529606164.93798828125,0.08630371093,0.33508300781,-0.95690917968,,,,,,,,
 1654529606169.1494140625,,,,,,2046,-18485,1023,0,
 1654529606202.65771484375,,,,,,1982,-20758,991,0,
 1654529606245.47387695312,0.07165527343,0.32922363281,-0.96423339843,,,,,,,,
 1654529606249.9599609375,,,,,,1962,-21704,981,0,
 1654529606283.22412109375,,,,,,1958,-21102,979,0,
 1654529606326.25390625,0.06884765625,0.33386230468,-0.96350097656,,,,,,,,
 1654529606330.31274414062,,,,,,2026,-18897,1013,0,
 1654529606363.82104492187,,,,,,2174,-15263,1087,0,
 1654529606406.88134765625,0.07067871093,0.3359375,-0.958984375,,,,,,,,
 1654529606410.8486328125,,,,,,2398,-10498,1199,0,
 1654529606444.41796875,,,,,,2622,-5086,1311,0,
 1654529606487.29516601562,0.07153320312,0.32238769531,-0.958984375,,,,,,,,
 1654529606491.50659179687,,,,,,2814,465,1407,0,
 1654529606524.984375,,,,,,3002,5613,1501,0,
 1654529606568.8076171875,0.06774902343,0.30871582031,-0.96411132812,,,,,,,,
 1654529606573.080078125,,,,,,3150,9920,1575,0,
 1654529606616.38452148437,,,,,,3294,13064,1647,0,
 1654529606648.763671875,0.06909179687,0.29821777343,-0.97290039062,,,,,,,,
 1654529606652.85302734375,,,,,,3454,14914,1727,0,
 1654529606686.17822265625,,,,,,3614,15440,1807,0,
 1654529606722.25,0.06665039062,0.29748535156,-0.97692871093,,,,,,,,
 1654529606767.81274414062,,,,,,3886,14879,1943,0,
 1654529606772.60400390625,,,,56,33,,,,
 1654529606802.083984375,0.06762695312,0.29821777343,-0.96728515625,,,,,,,,
 1654529606847.1279296875,,,,,,4086,13484,2043,0,
 1654529606882.19262695312,0.07434082031,0.29956054687,-0.962890625,,,,,,,,
 1654529606927.66381835937,,,,,,4222,11593,2111,0,
 1654529607005.94140625,0.07434082031,0.30224609375,-0.97326660156,,,,,,,,
 1654529607049.06274414062,0.072265625,0.30773925781,-0.97082519531,,,,,,,,
 1654529607053.45727539062,,,,,,4734,8016,2367,0,
 1654529607089.13232421875,,,,,,4982,6836,2491,0,
 1654529607129.01879882812,0.06921386718,0.31225585937,-0.95300292968,,,,,,,,
 1654529607133.07763671875,,,,,,5214,6177,2607,0,
 1654529607157.82739257812,,,,88,100,,,,
 1654529607160.87915039062,,,,,,,,,,88
 1654529607171.1025390625,,,,,,5406,6013,2703,0,
 1654529607207.38793945312,0.06567382812,0.32275390625,-0.95825195312,,,,,,,,
 1654529607213.94921875,,,,,,5550,6131,2775,0,
 1654529607250.11254882812,,,,,,5678,6304,2839,0,
 1654529607287.0693359375,0.06188964843,0.32556152343,-0.95129394531,,,,,,,,
 1654529607293.69165039062,,,,,,5822,6172,2911,0,
 1654529607330.95361328125,,,,,,5966,5430,2983,0,
 1654529607362.11206054687,0.05078125,0.33728027343,-0.96166992187,,,,,,,,
 1654529607373.46459960937,,,,,,6142,3800,3071,0,
 1654529607411.73364257812,,,,,,6270,1115,3135,0,
 1654529607442.12915039062,0.04040527343,0.35009765625,-0.97473144531,,,,,,,,
 1654529607453.48168945312,,,,,,6430,-2588,3215,0,
 1654529607491.75073242187,,,,,,6590,-7193,3295,0,
 1654529607521.9326171875,0.03662109375,0.34252929687,-0.96740722656,,,,,,,,
 1654529607533.71240234375,,,,,,6718,-12361,3359,0,
 1654529607572.98852539062,,,,,,6862,-17697,3431,0,
 1654529607602.07177734375,0.02648925781,0.34631347656,-0.9794921875,,,,,,,,
 1654529607613.4853515625,,,,,,6974,-22594,3487,0,
 1654529607653.37182617187,,,,,,7102,-26616,3551,0,
 1654529607682.14990234375,0.01867675781,0.34069824218,-0.97375488281,,,,,,,,
 1654529607698.38525390625,,,,,,7166,-29437,3583,0,
 1654529607734.36547851562,,,,,,7390,-30652,3695,0,
 1654529607763.05200195312,0.01293945312,0.33715820312,-0.96484375,,,,,,,,
 1654529607775.86938476562,,,,,,7670,-30129,3835,0,
 1654529607814.19946289062,,,,,,7606,-27986,2775,1028,
 1654529607842.18408203125,0.00610351562,0.34582519531,-0.95849609375,,,,,,,,
 1654529607854.87939453125,,,,,,7542,-24406,2911,860,
 1654529607894.79638671875,,,,,,7670,-19675,3007,828,
 1654529607922.04858398437,0.00805664062,0.35095214843,-0.947265625,,,,,,,,
 1654529607935.32373046875,,,,,,7734,-14329,3071,796,
 1654529608006.49072265625,,,,,,7846,-8869,3159,764,
 1654529608022.72607421875,,,,,,7918,-3818,3227,732,
 1654529608056.69213867187,,,,,,8022,438,3311,700,
 1654529608082.11328125,0.01843261718,0.37927246093,-0.95568847656,,,,,,,,
 1654529608096.73120117187,,,,,,8118,3531,3391,668,
 1654529608136.61767578125,,,,,,8182,5274,3455,636,
 1654529608162.16088867187,0.009765625,0.38952636718,-0.95947265625,,,,,,,,
 1654529608177.23657226562,,,,,,8246,5658,3519,604,
 1654529608217.91650390625,,,,,,8278,4814,3567,572,
 1654529608223.04345703125,,,,52,51,,,,
 1654529608264.6083984375,,,,88,100,,,,
 1654529608267.904296875,,,,,,,,,,88
 1654529608270.68139648437,0.00354003906,0.38073730468,-0.95715332031,,,,,,,,
 1654529608275.28955078125,,,,,,8310,3005,3615,540,
 1654529608322.07299804687,0.00061035156,0.37451171875,-0.96020507812,,,,,,,,
 1654529608338.52197265625,,,,,,8406,589,3695,508,
 1654529608379.04931640625,,,,,,8438,-1996,3743,476,
 1654529608402.12060546875,0.00134277343,0.36950683593,-0.95532226562,,,,,,,,
 1654529608418.96630859375,,,,,,8438,-4382,3775,444,
 1654529608460.19555664062,,,,,,8470,-6215,3823,412,
 1654529608481.95458984375,-0.00036621093,0.36303710937,-0.94055175781,,,,,,,,
 1654529608499.62426757812,,,,,,8406,-7284,1919,2284,
 1654529608539.60229492187,,,,,,8342,-7379,2047,2124,
 1654529608562.03271484375,-0.00744628906,0.35900878906,-0.93786621093,,,,,,,,
 1654529608580.22119140625,,,,,,8566,-6348,2191,2092,
 1654529608620.19921875,,,,,,8726,-4296,2303,2060,
 1654529608642.08032226562,-0.0263671875,0.35705566406,-0.94909667968,,,,,,,,
 1654529608660.75708007812,,,,,,8902,-1397,2423,2028,
 1654529608700.85717773437,,,,,,9046,2105,2527,1996,
 1654529608721.79223632812,-0.05285644531,0.34680175781,-0.95642089843,,,,,,,,
 1654529608741.23193359375,,,,,,9030,5865,2551,1964,
 1654529608781.72875976562,,,,,,8982,9569,2559,1932,
 1654529608802.11450195312,-0.06945800781,0.34838867187,-0.9609375,,,,,,,,
 1654529608822.31713867187,,,,,,8982,12953,2591,1900,
 1654529608861.98999023437,,,,,,8918,15718,2591,1868,
 1654529608882.0400390625,-0.05529785156,0.37719726562,-0.95886230468,,,,,,,,
 1654529608902.57836914062,,,,,,8838,17686,2583,1836,
 1654529608942.5869140625,,,,,,8694,18733,2543,1804,
 1654529609008.68798828125,-0.01745605468,0.40417480468,-0.94641113281,,,,,,,,
 1654529609012.92993164062,,,,,,8366,18772,2411,1772,
 1654529609031.11840820312,,,,52,51,,,,
 1654529609042.16577148437,0.02624511718,0.42504882812,-0.91760253906,,,,,,,,
 1654529609103.93334960937,,,,,,6958,15932,1771,1708,
 1654529609122.0302734375,0.06750488281,0.45043945312,-0.89697265625,,,,,,,,
 1654529609144.94897460937,,,,,,6358,13424,1503,1676,
 1654529609184.80493164062,,,,,,5838,10494,1275,1644,
 1654529609201.83374023437,0.08679199218,0.47583007812,-0.88940429687,,,,,,,,
 1654529609224.96606445312,,,,,,5326,7347,1051,1612,
 1654529609305.2578125,,,,,,4246,3926,543,1580,
 1654529609365.25537109375,,,,85,100,,,,
 1654529609368.33764648437,,,,,,,,,,85
 1654529609371.45043945312,0.11999511718,0.53088378906,-0.82592773437,,,,,,,,
 1654529609375.5703125,,,,,,3508,666,206,1548,
 1654529609426.32104492187,,,,,,3444,-2034,1431,291,
 1654529609466.66528320312,,,,,,3380,-4159,1295,395,
 1654529609506.76538085937,,,,,,3060,-5723,1167,363,
 1654529609521.99365234375,0.09875488281,0.564453125,-0.81896972656,,,,,,,,
 1654529609547.17065429687,,,,,,2708,-6717,1023,331,
 1654529609587.54541015625,,,,,,2436,-7127,919,299,
 1654529609627.67602539062,,,,,,2188,-7126,827,267,
 1654529609681.53955078125,0.04528808593,0.5771484375,-0.82897949218,,,,,,,,
 1654529609708.578125,,,,,,1916,-6916,723,235,
 1654529609748.55615234375,,,,,,1812,-6655,703,203,
 1654529609762.92993164062,0.02429199218,0.57861328125,-0.8505859375,,,,,,,,
 1654529609789.2666015625,,,,,,1636,-6607,647,171,
 1654529609829.15307617187,,,,,,1364,-7023,543,139,
 1654529609869.466796875,,,,,,1072,-7978,429,107,
 1654529609929.46435546875,0.01611328125,0.57531738281,-0.83752441406,,,,,,,,
 1654529609933.73681640625,,,,,,788,-9554,319,75,
 1654529610002.46240234375,,,,,,852,-11593,2379,-1953,
 1654529610013.69287109375,,,,,,916,-14071,2303,-1845,
 1654529610030.87426757812,,,,,,884,-16774,2255,-1813,
 1654529610071.15747070312,,,,,,788,-19411,2175,-1781,
 1654529610081.56396484375,0.01416015625,0.60803222656,-0.81640625,,,,,,,,
 1654529610111.2880859375,,,,,,708,-21641,2103,-1749,
 1654529610151.47973632812,,,,,,612,-23185,2023,-1717,
 1654529610161.458984375,0.01086425781,0.59411621093,-0.81945800781,,,,,,,,
 1654529610191.8544921875,,,,,,564,-23745,1967,-1685,
 1654529610232.259765625,,,,,,628,-23066,1967,-1653,
 1654529610241.72021484375,0.00817871093,0.607421875,-0.80639648437,,,,,,,,
 1654529610272.4208984375,,,,,,724,-21022,1983,-1621,
 1654529610312.76513671875,,,,,,916,-17572,2047,-1589,
 1654529610321.76782226562,0.00695800781,0.62512207031,-0.80029296875,,,,,,,,
 1654529610393.2705078125,,,,,,1140,-12858,2127,-1557,
 1654529610401.17456054687,0.00231933593,0.61975097656,-0.80883789062,,,,,,,,
 1654529610433.82836914062,,,,,,1268,-7189,2159,-1525,
 1654529610457.6015625,,,,82,100,,,,
 1654529610460.56176757812,,,,,,,,,,82
 1654529610474.14208984375,,,,,,1428,-824,2207,-1493,
 1654529610482.07666015625,0.00109863281,0.61730957031,-0.81079101562,,,,,,,,
 1654529610514.45581054687,,,,,,1580,5795,2251,-1461,
 1654529610554.67797851562,,,,,,1708,12250,2283,-1429,
 1654529610562.58203125,0.00158691406,0.62243652343,-0.80651855468,,,,,,,,
 1654529610594.80859375,,,,,,1812,18076,2303,-1397,
 1654529610635.12231445312,,,,,,1924,23018,2327,-1365,
 1654529610642.904296875,-0.00134277343,0.63000488281,-0.80139160156,,,,,,,,
 1654529610675.77172851562,,,,,,2004,26811,2335,-1333,
 1654529610715.658203125,,,,,,2052,29342,2327,-1301,
 1654529610723.37915039062,0.00048828125,0.63049316406,-0.80212402343,,,,,,,,
 1654529610756.12451171875,,,,,,2100,30530,2319,-1269,
 1654529610800.03930664062,,,,,,2164,30495,2319,-1237,
 1654529610805.013671875,,,,48,51,,,,
 1654529610809.01147460937,0.00122070312,0.62231445312,-0.80346679687,,,,,,,,
 1654529610836.72143554687,,,,,,2196,29416,2303,-1205,
 1654529610879.78173828125,,,,,,2260,27592,2303,-1173,
 1654529610885.091796875,0.00170898437,0.61853027343,-0.80822753906,,,,,,,,
 1654529610917.1962890625,,,,,,2276,25173,2279,-1141,
 1654529611008.59643554687,-0.00024414062,0.61779785156,-0.80944824218,,,,,,,,
 1654529611013.05200195312,,,,,,2324,22376,2271,-1109,
 1654529611045.09545898437,-0.00012207031,0.62268066406,-0.80480957031,,,,,,,,
 1654529611049.70361328125,,,,,,2548,16260,2319,-1045,
 1654529611078.63427734375,,,,,,2644,13130,2335,-1013,
 1654529611121.57250976562,,,,,,2740,9895,2351,-981,
 1654529611159.10913085937,,,,,,2828,6477,2363,-949,
 1654529611202.13891601562,,,,,,2900,2732,2367,-917,
 1654529611239.52294921875,,,,,,2964,-1406,2367,-885,
 1654529611282.61376953125,,,,,,2996,-6026,2351,-853,
 1654529611320.21142578125,,,,,,3060,-11103,2351,-821,
 1654529611363.2412109375,0.00476074218,0.62414550781,-0.80981445312,,,,,,,,
 1654529611367.45263671875,,,,,,3124,-16508,2351,-789,
 1654529611400.86938476562,,,,,,3188,-22001,2351,-757,
 1654529611444.81469726562,0.00537109375,0.62048339843,-0.8017578125,,,,,,,,
 1654529611449.02612304687,,,,,,3252,-27307,2351,-725,
 1654529611481.4052734375,,,,,,3300,-32214,2343,-693,
 1654529611524.58764648437,0.0087890625,0.61975097656,-0.79919433593,,,,,,,,
 1654529611528.70751953125,,,,,,3332,-32768,2327,-661,
 1654529611562.826171875,,,,82,100,,,,
 1654529611565.90844726562,,,,,,,,,,82
 1654529611569.14331054687,,,,,,3348,-32768,2303,-629,
 1654529611605.94750976562,0.01245117187,0.62145996093,-0.79895019531,,,,,,,,
 1654529611610.0673828125,,,,,,3404,-32768,2299,-597,
 1654529611685.53735351562,0.00903320312,0.6181640625,-0.79467773437,,,,,,,,
 1654529611689.74877929687,,,,,,3396,-32768,2263,-565,
 1654529611723.2265625,,,,,,3436,-32768,2251,-533,
 1654529611766.0732421875,0.00634765625,0.61340332031,-0.79895019531,,,,,,,,
 1654529611770.52880859375,,,,,,3508,-32768,2255,-501,
 1654529611803.82348632812,,,,,,3604,-32768,2271,-469,
 1654529611846.85327148437,0.00512695312,0.61328125,-0.80517578125,,,,,,,,
 1654529611850.88159179687,,,,,,3700,-32768,2287,-437,
 1654529611884.38989257812,,,,,,3796,-32768,2303,-405,
 1654529611927.48071289062,0.00659179687,0.61645507812,-0.80383300781,,,,,,,,
 1654529611931.53955078125,,,,,,3860,-32768,2303,-373,
 1654529612006.21606445312,,,,,,3924,-32768,2303,-341,
 1654529612017.904296875,,,,,,3988,-32768,2303,-309,
 1654529612045.40063476562,,,,,,4052,-32768,2303,-277,
 1654529612082.14379882812,0.00598144531,0.62585449218,-0.79418945312,,,,,,,,
 1654529612106.19165039062,,,,79,100,,,,
 1654529612109.54858398437,,,,,,,,,,79
 1654529612126.11962890625,,,,,,4100,-32768,2295,-245,
 1654529612161.3369140625,0.00805664062,0.62854003906,-0.79663085937,,,,,,,,
 1654529612206.44189453125,,,,,,4164,-29797,2295,-213,
 1654529612241.1708984375,0.01208496093,0.62866210937,-0.79992675781,,,,,,,,
 1654529612287.19140625,,,,,,4164,-25050,2263,-181,
 1654529612321.126953125,0.01403808593,0.62463378906,-0.79724121093,,,,,,,,
 1654529612367.6357421875,,,,,,4180,-17984,2239,-149,
 1654529612408.31567382812,0.01806640625,0.61962890625,-0.80017089843,,,,,,,,
 1654529612412.435546875,,,,,,4228,-8233,2231,-117,
 1654529612448.41577148437,,,,,,4268,4258,2219,-85,
 1654529612488.18017578125,0.01574707031,0.62036132812,-0.80261230468,,,,,,,,
 1654529612492.42211914062,,,,,,4324,19407,2215,-53,
 1654529612528.70751953125,,,,,,4372,32767,2207,-21,
 1654529612566.27465820312,0.01159667968,0.61657714843,-0.8046875,,,,,,,,
 1654529612573.6904296875,,,,,,4446,32767,2223,0,
 1654529612578.54272460937,,,,44,60,,,,
 1654529612609.79272460937,,,,,,4510,32767,2255,0,
 1654529612645.98657226562,0.0126953125,0.61486816406,-0.81311035156,,,,,,,,
 1654529612652.63940429687,,,,,,4574,32767,2287,0,
 1654529612690.17602539062,,,,,,4606,32767,2303,0,
 1654529612721.09033203125,0.01220703125,0.6181640625,-0.81372070312,,,,,,,,
 1654529612732.9921875,,,,,,4654,32767,2327,0,
 1654529612770.62036132812,,,,,,4654,32767,2327,0,
 1654529612801.107421875,0.00891113281,0.61767578125,-0.8046875,,,,,,,,
 1654529612851.0341796875,,,,,,4654,32767,2327,0,
 1654529612881.21606445312,0.00732421875,0.6142578125,-0.79943847656,,,,,,,,
 1654529612892.81274414062,,,,,,4670,32767,2335,0,
 1654529612932.24145507812,,,,,,4662,32767,2331,0,
